"garden","meso_id","soil_id","treat","n_bags","...31","entered_by","bag","seed_id","intact","germinated","burst","missing","obs","date","notes"
"WIL",31,"SR","Live",2,31,"HL",3,NA,NA,NA,NA,NA,NA,NA,NA
"SUM",32,"NG","Dead",3,32,"HL",1,"NG",2,9,0,0,"SF","45804","extra seeds"
"WIL",32,"NG","Dead",3,32,"HL",1,"RC",3,3,4,0,"HL","45812",NA
"SUM",32,"NG","Dead",3,32,"HL",2,"RC",1,7,0,2,"SF","45804",NA
"WIL",32,"NG","Dead",3,32,"HL",2,"HR",4,6,0,0,"HL","45811","1 intact broken"
"SUM",32,"NG","Dead",3,32,"HL",3,"HR",4,6,0,0,"SF","45804",NA
"WIL",32,"NG","Dead",3,32,"HL",3,"NG",7,3,0,0,"HL","45812",NA
"SUM",33,"SR","Dead",3,33,"HL",1,"SR",3,6,0,1,"SF","45798",NA
"WIL",33,"SR","Dead",3,33,"HL",1,"SR",3,6,0,1,"SF","45811",NA
"SUM",33,"SR","Dead",3,33,"HL",2,"HG",10,0,0,0,"SF","45798",NA
"WIL",33,"SR","Dead",3,33,"HL",2,"HG",5,4,1,0,"SF","45811",NA
"SUM",33,"SR","Dead",3,33,"HL",3,"AH",10,0,0,0,"SF","45804",NA
"WIL",33,"SR","Dead",3,33,"HL",3,"AH",9,1,0,0,"SF","45811",NA
"SUM",34,"HG","Dead",3,34,"HL",1,"SR",3,7,0,0,"SF","45806","1 intact could be germ"
"WIL",34,"HG","Dead",3,34,"HL",1,"SR",1,8,1,0,"SF","45810",NA
"SUM",34,"HG","Dead",3,34,"HL",2,"CR",9,0,0,1,"SF","45806",NA
"WIL",34,"HG","Dead",3,34,"HL",2,"CR",6,3,0,1,"SF","45810",NA
"SUM",34,"HG","Dead",3,34,"HL",3,"OH",10,0,0,0,"SF","45798","1 intact could be germ"
"WIL",34,"HG","Dead",3,34,"HL",3,"OH",2,4,1,3,"SF","45810",NA
