"garden","meso_id","soil_id","treat","n_bags","...31","entered_by","bag","seed_id","intact","obs","date","notes","seed_fate","n_seeds"
"WIL",10,"SR","Live",3,10,"HL",3,"HG",10,"SF","45811","1 extra seed","burst",0
"WIL",10,"SR","Live",3,10,"HL",3,"HG",10,"SF","45811","1 extra seed","missing",0
"SUM",11,"HR","Live",2,11,"HL",1,"HR",10,"SF","45810",NA,"germinated",0
"SUM",11,"HR","Live",2,11,"HL",1,"HR",10,"SF","45810",NA,"burst",0
"SUM",11,"HR","Live",2,11,"HL",1,"HR",10,"SF","45810",NA,"missing",0
"WIL",11,"HR","Live",2,11,"HL",1,"HR",8,"SF","45812","black furry growth","germinated",2
"WIL",11,"HR","Live",2,11,"HL",1,"HR",8,"SF","45812","black furry growth","burst",0
"WIL",11,"HR","Live",2,11,"HL",1,"HR",8,"SF","45812","black furry growth","missing",0
"SUM",11,"HR","Live",2,11,"HL",2,"HG",7,"SF","45810",NA,"germinated",3
"SUM",11,"HR","Live",2,11,"HL",2,"HG",7,"SF","45810",NA,"burst",0
"SUM",11,"HR","Live",2,11,"HL",2,"HG",7,"SF","45810",NA,"missing",0
"WIL",11,"HR","Live",2,11,"HL",2,"HG",4,"SF","45812",NA,"germinated",5
"WIL",11,"HR","Live",2,11,"HL",2,"HG",4,"SF","45812",NA,"burst",0
"WIL",11,"HR","Live",2,11,"HL",2,"HG",4,"SF","45812",NA,"missing",1
"SUM",11,"HR","Live",2,11,"HL",3,NA,NA,NA,NA,NA,"germinated",NA
"SUM",11,"HR","Live",2,11,"HL",3,NA,NA,NA,NA,NA,"burst",NA
"SUM",11,"HR","Live",2,11,"HL",3,NA,NA,NA,NA,NA,"missing",NA
"WIL",11,"HR","Live",2,11,"HL",3,NA,NA,NA,NA,NA,"germinated",NA
"WIL",11,"HR","Live",2,11,"HL",3,NA,NA,NA,NA,NA,"burst",NA
"WIL",11,"HR","Live",2,11,"HL",3,NA,NA,NA,NA,NA,"missing",NA
"SUM",12,"AH","Live",3,12,"HL",1,"SR",7,"SF","45810",NA,"germinated",3
"SUM",12,"AH","Live",3,12,"HL",1,"SR",7,"SF","45810",NA,"burst",0
"SUM",12,"AH","Live",3,12,"HL",1,"SR",7,"SF","45810",NA,"missing",0
"WIL",12,"AH","Live",3,12,"HL",1,"CR",6,"HL","45812","1 intact is flat","germinated",3
"WIL",12,"AH","Live",3,12,"HL",1,"CR",6,"HL","45812","1 intact is flat","burst",1
"WIL",12,"AH","Live",3,12,"HL",1,"CR",6,"HL","45812","1 intact is flat","missing",0
"SUM",12,"AH","Live",3,12,"HL",2,"CR",7,"SF","45810",NA,"germinated",3
"SUM",12,"AH","Live",3,12,"HL",2,"CR",7,"SF","45810",NA,"burst",0
"SUM",12,"AH","Live",3,12,"HL",2,"CR",7,"SF","45810",NA,"missing",0
"WIL",12,"AH","Live",3,12,"HL",2,"OH",8,"HL","45812",NA,"germinated",2
"WIL",12,"AH","Live",3,12,"HL",2,"OH",8,"HL","45812",NA,"burst",0
"WIL",12,"AH","Live",3,12,"HL",2,"OH",8,"HL","45812",NA,"missing",0
"SUM",12,"AH","Live",3,12,"HL",3,"OH",9,"HL","45810","mystery seed material, could be from 10th seed","germinated",0
"SUM",12,"AH","Live",3,12,"HL",3,"OH",9,"HL","45810","mystery seed material, could be from 10th seed","burst",0
"SUM",12,"AH","Live",3,12,"HL",3,"OH",9,"HL","45810","mystery seed material, could be from 10th seed","missing",1
"WIL",12,"AH","Live",3,12,"HL",3,"SR",4,"HL","45812",NA,"germinated",3
"WIL",12,"AH","Live",3,12,"HL",3,"SR",4,"HL","45812",NA,"burst",3
"WIL",12,"AH","Live",3,12,"HL",3,"SR",4,"HL","45812",NA,"missing",0
"SUM",13,"HR","Dead",2,13,"HL",1,"HR",5,"SF","45806",NA,"germinated",5
"SUM",13,"HR","Dead",2,13,"HL",1,"HR",5,"SF","45806",NA,"burst",0
"SUM",13,"HR","Dead",2,13,"HL",1,"HR",5,"SF","45806",NA,"missing",0
"WIL",13,"HR","Dead",2,13,"HL",1,"HR",7,"SF","45811",NA,"germinated",2
"WIL",13,"HR","Dead",2,13,"HL",1,"HR",7,"SF","45811",NA,"burst",1
"WIL",13,"HR","Dead",2,13,"HL",1,"HR",7,"SF","45811",NA,"missing",0
"SUM",13,"HR","Dead",2,13,"HL",2,"HG",6,"SF","45806",NA,"germinated",2
"SUM",13,"HR","Dead",2,13,"HL",2,"HG",6,"SF","45806",NA,"burst",0
"SUM",13,"HR","Dead",2,13,"HL",2,"HG",6,"SF","45806",NA,"missing",2
"WIL",13,"HR","Dead",2,13,"HL",2,"HG",7,"HL","45810",NA,"germinated",3
"WIL",13,"HR","Dead",2,13,"HL",2,"HG",7,"HL","45810",NA,"burst",0
"WIL",13,"HR","Dead",2,13,"HL",2,"HG",7,"HL","45810",NA,"missing",0
"SUM",13,"HR","Dead",2,13,"HL",3,NA,NA,NA,NA,NA,"germinated",NA
"SUM",13,"HR","Dead",2,13,"HL",3,NA,NA,NA,NA,NA,"burst",NA
"SUM",13,"HR","Dead",2,13,"HL",3,NA,NA,NA,NA,NA,"missing",NA
"WIL",13,"HR","Dead",2,13,"HL",3,NA,NA,NA,NA,NA,"germinated",NA
"WIL",13,"HR","Dead",2,13,"HL",3,NA,NA,NA,NA,NA,"burst",NA
"WIL",13,"HR","Dead",2,13,"HL",3,NA,NA,NA,NA,NA,"missing",NA
"SUM",14,"HG","Live",3,14,"HL",1,"SR",0,"SF","45799",NA,"germinated",8
"SUM",14,"HG","Live",3,14,"HL",1,"SR",0,"SF","45799",NA,"burst",1
"SUM",14,"HG","Live",3,14,"HL",1,"SR",0,"SF","45799",NA,"missing",1
"WIL",14,"HG","Live",3,14,"HL",1,"OH",5,"HL","45812",NA,"germinated",5
"WIL",14,"HG","Live",3,14,"HL",1,"OH",5,"HL","45812",NA,"burst",0
"WIL",14,"HG","Live",3,14,"HL",1,"OH",5,"HL","45812",NA,"missing",0
"SUM",14,"HG","Live",3,14,"HL",2,"CR",9,"SF","45799",NA,"germinated",1
"SUM",14,"HG","Live",3,14,"HL",2,"CR",9,"SF","45799",NA,"burst",0
"SUM",14,"HG","Live",3,14,"HL",2,"CR",9,"SF","45799",NA,"missing",0
"WIL",14,"HG","Live",3,14,"HL",2,"CR",7,"HL","45812",NA,"germinated",2
"WIL",14,"HG","Live",3,14,"HL",2,"CR",7,"HL","45812",NA,"burst",0
"WIL",14,"HG","Live",3,14,"HL",2,"CR",7,"HL","45812",NA,"missing",1
